2022-06-27 12:17:18,038 INFO    MainThread:10176 [wandb_setup.py:_flush():76] Loading settings from C:\Users\nikol\.config\wandb\settings
2022-06-27 12:17:18,039 INFO    MainThread:10176 [wandb_setup.py:_flush():76] Loading settings from D:\University\Edinburgh\Dissertation\MM_RecSys_Amazon\wandb\settings
2022-06-27 12:17:18,039 INFO    MainThread:10176 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2022-06-27 12:17:18,039 INFO    MainThread:10176 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'run.py', 'program': 'run.py'}
2022-06-27 12:17:18,039 INFO    MainThread:10176 [wandb_init.py:_log_setup():428] Logging user logs to D:\University\Edinburgh\Dissertation\MM_RecSys_Amazon\wandb\run-20220627_121718-1xyru9hj\logs\debug.log
2022-06-27 12:17:18,039 INFO    MainThread:10176 [wandb_init.py:_log_setup():429] Logging internal logs to D:\University\Edinburgh\Dissertation\MM_RecSys_Amazon\wandb\run-20220627_121718-1xyru9hj\logs\debug-internal.log
2022-06-27 12:17:18,039 INFO    MainThread:10176 [wandb_init.py:init():462] calling init triggers
2022-06-27 12:17:18,039 INFO    MainThread:10176 [wandb_init.py:init():466] wandb.init called with sweep_config: {}
config: {'lr': 1e-05, 'wd': 0.0001, 'batch_size': 1020, 'max_epochs': 50, 'early_stop_epoch_threshold': 4, 'model': 'mm_baseline_cls'}
2022-06-27 12:17:18,039 INFO    MainThread:10176 [wandb_init.py:init():515] starting backend
2022-06-27 12:17:18,039 INFO    MainThread:10176 [backend.py:_multiprocessing_setup():99] multiprocessing start_methods=spawn, using: spawn
2022-06-27 12:17:18,040 INFO    MainThread:10176 [backend.py:ensure_launched():217] starting backend process...
2022-06-27 12:17:18,141 INFO    MainThread:10176 [backend.py:ensure_launched():222] started backend process with pid: 16792
2022-06-27 12:17:18,142 INFO    MainThread:10176 [wandb_init.py:init():525] backend started and connected
2022-06-27 12:17:18,144 INFO    MainThread:10176 [wandb_init.py:init():596] updated telemetry
2022-06-27 12:17:18,194 INFO    MainThread:10176 [wandb_init.py:init():628] communicating run to backend with 30 second timeout
